item_id:token,title:token,categories:token_seq,brand:token,sales_type:token,sales_rank:float,price:float
102,John Fogerty: Premonition,"'Pop', 'Vocal Pop'",John Fogerty,Movies & TV,62131.0,
103,Hated VHS,"'Alternative Rock', 'Hardcore'",GG Allin,Movies & TV,343122.0,
107,The Who - Live at the Isle of Wight Festival 1970,'Classic Rock',Roger Daltrey,Movies & TV,337213.0,
112,Tori Amos: Complete Videos: 1991-1998 VHS,"'Pop', 'Adult Alternative'",,Movies & TV,291260.0,
115,Yes - Live in Philadelphia,"'World Music', 'Europe', 'British Isles', 'Britain'",Jon Anderson,Movies & TV,235760.0,
117,Madonna - Ciao Italia: Live from Italy,"'Pop', 'Adult Contemporary'",Madonna,Movies & TV,69121.0,
123,Sarah Brightman - One Night in Eden,"'Pop', 'Adult Contemporary'",Sarah Brightman,Movies & TV,74580.0,
122,Madonna - Video Collection 1993-99,"'Pop', 'Adult Contemporary'",Madonna,Movies & TV,91653.0,
125,Big Money Hustlas: The Movie VHS,'Pop Rap',Shaggy 2 Dope,Movies & TV,296332.0,
127,Classic Albums: Steely Dan - Aja,'Classic Rock',Donald Fagen,Movies & TV,94561.0,
129,House of Yes - Live From The House of Blues VHS,"'Rock', 'Progressive', 'Progressive Rock'",,Movies & TV,821103.0,
131,Famous Blue Raincoat,"'Pop', 'Adult Contemporary'",Jennifer Warnes,CDs & Vinyl,110464.0,
134,Senor Blues,"'Blues', 'Contemporary Blues'",Taj Mahal,CDs & Vinyl,185389.0,
138,That's Them,"'Pop', 'Dance Pop'",Artifacts,CDs & Vinyl,218301.0,
132,Mystery Lady,"'Blues', 'Vocal Blues'",Etta James,CDs & Vinyl,10663.0,
137,<span id=parentalAdvisory class=a-size-medium a-color-secondary a-text-normal,'East Coast',Lil' Kim,CDs & Vinyl,11478.0,
135,Changing Faces,"'Pop', 'Dance Pop'",Changing Faces,CDs & Vinyl,36916.0,
143,Wheels Of Fire,'Classic Rock',Cream,CDs & Vinyl,75602.0,
142,Home,"'World Music', 'Europe', 'British Isles', 'Britain'",Procol Harum,CDs & Vinyl,626961.0,
150,Leon Russell,'Classic Rock',Leon Russell,CDs & Vinyl,491303.0,
157,Raiders Of The Lost Ark Soundtrack,"'Soundtracks', 'Movie Scores'",London Symphony Orchestra,CDs & Vinyl,45579.0,
162,So Long So Wrong,"'Country', 'Bluegrass'",Alison Krauss and Union Station,CDs & Vinyl,24621.0,
164,Move It on Over,"'Blues', 'Slide Guitar'",George Thorogood & The Destroyers,CDs & Vinyl,431084.0,
174,He's the DJ I'm the Rapper,'East Coast',DJ Jazzy Jeff & The Fresh Prince,CDs & Vinyl,335965.0,
179,Billy Ocean's Greatest Hits,'Disco',Billy Ocean,CDs & Vinyl,8672.0,
173,Samantha Fox,"'Pop', 'Dance Pop'",Samantha Fox,CDs & Vinyl,429941.0,
178,Ghetto Music: Blueprint of Hip Hop,'East Coast',Boogie Down Productions,CDs & Vinyl,400646.0,
184,Born Into The 90's,"'Blues', 'Contemporary Blues'",Public Announcement,CDs & Vinyl,329708.0,
190,12 Play,,R. Kelly,CDs & Vinyl,2933.0,
212,A Fresh Aire Christmas,"'Rock', 'Progressive', 'Electronic'",Mannheim Steamroller,CDs & Vinyl,1451.0,
214,Die For The Government,"'Alternative Rock', 'Hardcore'",Anti-Flag,CDs & Vinyl,405945.0,
224,Fotheringay,"'World Music', 'Europe', 'British Isles', 'Britain'",Fotheringay,CDs & Vinyl,465382.0,
217,Fragments of a Rainy Season,"'Alternative Rock', 'Proto Punk'",John Cale,CDs & Vinyl,35608.0,
220,Starring Henry the Human Fly,"'Folk', 'British Folk'",Richard Thompson,CDs & Vinyl,433053.0,
237,Prodigal Stranger,"'Rock', 'Progressive', 'Progressive Rock'",Procol Harum,CDs & Vinyl,682023.0,
249,Low,"'Alternative Rock', 'Proto Punk'",David Bowie,CDs & Vinyl,105106.0,
256,CURE FOR PAIN,"'Alternative Rock', 'Indie Rock'",Morphine,CDs & Vinyl,42894.0,
259,Arizona Bay,,Bill Hicks,CDs & Vinyl,71217.0,
247,Diamond Dogs,"'Alternative Rock', 'Proto Punk'",David Bowie,CDs & Vinyl,19069.0,
255,Who Came First,"'Rock', 'Progressive', 'Progressive Rock'",Pete Townshend,CDs & Vinyl,277536.0,
260,Rant in E Minor,,Bill Hicks,CDs & Vinyl,70115.0,
263,Wedding Album,"'Rock', 'Progressive', 'Progressive Rock'",Yoko Ono,CDs & Vinyl,104344.0,
273,Uncle Meat,"'Rock', 'Progressive', 'Progressive Rock'",Frank Zappa,CDs & Vinyl,364013.0,
276,Weasels Ripped My Flesh,"'Rock', 'Progressive', 'Progressive Rock'",Frank Zappa,CDs & Vinyl,312683.0,
278,<span id=parentalAdvisory class=a-size-medium a-color-secondary a-text-normal,"'Rock', 'Progressive', 'Progressive Rock'",Frank Zappa,CDs & Vinyl,145158.0,
262,Unfinished Music #2: Life With The Lions,"'Rock', 'Progressive', 'Progressive Rock'",Yoko Ono,CDs & Vinyl,394670.0,
285,Roxy &amp; Elsewhere,"'Rock', 'Progressive', 'Progressive Rock'",Frank Zappa,CDs & Vinyl,131619.0,
282,The Grand Wazoo,"'Jazz', 'Swing Jazz', 'Contemporary Big Band'",Frank Zappa,CDs & Vinyl,192019.0,
261,Unfinished Music 1: Two Virgins,"'Rock', 'Progressive', 'Progressive Rock'",Yoko Ono,CDs & Vinyl,434620.0,
283,Over-Nite Sensation,"'Rock', 'Progressive', 'Progressive Rock'",Frank Zappa,CDs & Vinyl,213331.0,
275,Burnt Weeny Sandwich,"'Rock', 'Progressive', 'Progressive Rock'",Frank Zappa,CDs & Vinyl,213500.0,
321,Blood &amp; Chocolate,"'World Music', 'Europe', 'British Isles', 'Britain'",The Attractions,CDs & Vinyl,96496.0,
315,Get Happy,"'Alternative Rock', 'New Wave'",The Attractions,CDs & Vinyl,229490.0,
309,Lather,"'Rock', 'Progressive', 'Progressive Rock'",Frank Zappa,CDs & Vinyl,129239.0,
308,You Can't Do That On Stage Anymore - Vol. 6,"'Rock', 'Progressive', 'Progressive Rock'",Frank Zappa,CDs & Vinyl,532399.0,
289,Zappa in New York,"'Rock', 'Progressive', 'Progressive Rock'",Frank Zappa,CDs & Vinyl,316286.0,
324,Yellow Shark,"'Rock', 'Progressive', 'Progressive Rock'",Frank Zappa,CDs & Vinyl,166768.0,
317,Imperial Bedroom,"'Alternative Rock', 'New Wave'",The Attractions,CDs & Vinyl,520195.0,
311,Changesbowie,"'Alternative Rock', 'Proto Punk'",David Bowie,CDs & Vinyl,239382.0,
328,Alone &amp; Acoustic,"'Blues', 'Regional Blues', 'Chicago Blues'",Junior Wells,CDs & Vinyl,93882.0,
329,Freaks of Nature,"'Rock', 'Progressive', 'Progressive Rock'",Kansas,CDs & Vinyl,85033.0,
339,Moby Grape,'Classic Rock',Moby Grape,CDs & Vinyl,132380.0,
345,A Man And The Blues,"'Blues', 'Regional Blues', 'Chicago Blues'",Buddy Guy,CDs & Vinyl,6081.0,
361,Down In It,"'Alternative Rock', 'Industrial', 'Alt Industrial'",Nine Inch Nails,CDs & Vinyl,28654.0,
362,Head Like a Hole,"'Alternative Rock', 'Industrial', 'Alt Industrial'",Nine Inch Nails,CDs & Vinyl,108610.0,
373,Whoracle,"'Rock', 'Progressive', 'Progressive Metal'",In Flames,CDs & Vinyl,351608.0,
389,Chaos A.D.,"'World Music', 'Brazil'",Sepultura,CDs & Vinyl,95301.0,
401,Burn My Eyes,"'Metal', 'Alternative Metal'",Machine Head,CDs & Vinyl,49275.0,
386,Abigail,"'Rock', 'Progressive', 'Progressive Metal'",King Diamond,CDs & Vinyl,55637.0,
397,Pierced from Within,"'Alternative Rock', 'Punk'",Suffocation,CDs & Vinyl,258185.0,
392,Coal Chamber,"'Alternative Rock', 'Industrial'",Coal Chamber,CDs & Vinyl,52577.0,
415,Deicide,"'Metal', 'Death Metal'",Deicide,CDs & Vinyl,622709.0,
404,Point Blank,"'Alternative Rock', 'Industrial'",Nailbomb,CDs & Vinyl,14814.0,
422,Buhloone Mind State,'East Coast',De La Soul,CDs & Vinyl,32114.0,
425,Earth A.D.\Die Die My Darling,"'Alternative Rock', 'Hardcore'",Misfits,CDs & Vinyl,43635.0,
428,Join The Army,"'Alternative Rock', 'Hardcore'",Suicidal Tendencies,CDs & Vinyl,16797.0,
431,Moroccan Roll,"'Rock', 'Progressive', 'Progressive Rock'",Brand X,CDs & Vinyl,575968.0,
427,Smashes Crashes &amp; Near Misses: Best of,"'Alternative Rock', 'New Wave'",Records,CDs & Vinyl,161993.0,
441,Gazeuse,"'Rock', 'Progressive', 'Progressive Rock'",Gong,CDs & Vinyl,324513.0,
445,Fish Rising,"'Rock', 'Progressive', 'Progressive Rock'",Steve Hillage,CDs & Vinyl,989101.0,
447,Timewind,"'Rock', 'Progressive', 'Progressive Rock'",Klaus Schulze,CDs & Vinyl,692238.0,
464,Essential Fripp &amp; Eno,"'Rock', 'Progressive', 'Progressive Rock'",Brian Eno,CDs & Vinyl,113314.0,
477,Goodbye Yellow Brick Road,"'World Music', 'Europe', 'British Isles', 'Britain'",Elton John,CDs & Vinyl,292938.0,
475,Crime of Century,"'Rock', 'Progressive', 'Progressive Rock'",Supertramp,CDs & Vinyl,420532.0,
490,Journey To The Center Of The Earth,"'Rock', 'Progressive', 'Progressive Rock'",Rick Wakeman,CDs & Vinyl,629592.0,
493,Old Ways,'Classic Rock',Neil Young,CDs & Vinyl,580419.0,
499,Living In The Past,"'Rock', 'Progressive', 'Progressive Rock'",Jethro Tull,CDs & Vinyl,634172.0,
498,Appetite for Destruction,'Classic Rock',Guns N' Roses,CDs & Vinyl,432112.0,
503,In On the Kill Taker,"'Alternative Rock', 'Emo'",Fugazi,CDs & Vinyl,35484.0,
507,Day the Country Died,"'Alternative Rock', 'British Punk'",Subhumans,CDs & Vinyl,169717.0,
506,Parallel Dreams,"'World Music', 'North America'",Loreena McKennitt,CDs & Vinyl,220011.0,
519,You're Living All Over Me,"'Alternative Rock', 'Punk'",Dinosaur Jr.,CDs & Vinyl,378929.0,
524,Bug,"'Alternative Rock', 'Punk'",Dinosaur Jr.,CDs & Vinyl,489962.0,
549,Barcelona,"'Rock', 'Progressive', 'Progressive Rock'",Freddie Mercury,CDs & Vinyl,988.0,
530,Sheer Heart Attack,"'Rock', 'Progressive', 'Progressive Rock'",Queen,CDs & Vinyl,176766.0,
545,The Miracle,"'Rock', 'Progressive', 'Progressive Rock'",Queen,CDs & Vinyl,2700.0,
562,Security,"'Rock', 'Progressive', 'Progressive Rock'",Peter Gabriel,CDs & Vinyl,518847.0,
568,English Settlement,"'Alternative Rock', 'New Wave'",XTC,CDs & Vinyl,710222.0,
566,Through The Fire,'Classic Rock',HSAS,CDs & Vinyl,4681.0,
564,Peter Gabriel,"'World Music', 'Europe', 'British Isles', 'Britain'",Peter Gabriel,CDs & Vinyl,481655.0,
560,Dreamgirls 1982 Original Broadway Cast,'Musicals',Sheryl Lee Ralph,CDs & Vinyl,65877.0,
573,Scream,"'Alternative Rock', 'British Punk'",Siouxsie & The Banshees,CDs & Vinyl,536917.0,
580,Whitesnake,"'Classic Rock', 'Arena Rock'",Whitesnake,CDs & Vinyl,60034.0,
571,Hyaena,"'Alternative Rock', 'Punk'",Siouxsie & The Banshees,CDs & Vinyl,194356.0,
583,Still Life,"'World Music', 'Brazil'",Pat Metheny,CDs & Vinyl,151833.0,
575,Juju,"'Alternative Rock', 'Punk'",Siouxsie & The Banshees,CDs & Vinyl,88154.0,
604,Then &amp; Now,"'Rock', 'Progressive', 'Progressive Rock'",Asia,CDs & Vinyl,45145.0,
596,The End of the Innocence,'Classic Rock',Don Henley,CDs & Vinyl,7849.0,
625,Into Glory Ride,'Metal',Manowar,CDs & Vinyl,771814.0,
631,MTV Unplugged in New York,'Alternative Rock',Nirvana,CDs & Vinyl,145.0,
640,Cowboy Junkies: Lay It Down,"'Country', 'Americana'",Cowboy Junkies,CDs & Vinyl,52136.0,
648,<span id=parentalAdvisory class=a-size-medium a-color-secondary a-text-normal,"'Alternative Rock', 'Punk'",Snot,CDs & Vinyl,16936.0,
574,Kaleidoscope,"'Alternative Rock', 'Goth'",Siouxsie & The Banshees,CDs & Vinyl,95143.0,
603,Question &amp; Answer,"'Jazz', 'Bebop'",Pat Metheny With Dave Holland & Roy Haynes,CDs & Vinyl,479756.0,
605,Night Ride Home,'Pop',Joni Mitchell,CDs & Vinyl,19334.0,
651,Beatitude,"'Alternative Rock', 'New Wave'",Ric Ocasek,CDs & Vinyl,412403.0,
659,Landing On Water,'Classic Rock',Neil Young,CDs & Vinyl,35383.0,
609,Mummer,"'Alternative Rock', 'New Wave'",XTC,CDs & Vinyl,581508.0,
652,Alpha,"'Rock', 'Progressive', 'Progressive Rock'",Asia,CDs & Vinyl,92849.0,
615,Lucky Thirteen,'Classic Rock',Neil Young,CDs & Vinyl,197250.0,
661,Contagious,'Classic Rock',Y&T,CDs & Vinyl,103136.0,
665,Oranges &amp; Lemons,"'Alternative Rock', 'New Wave'",XTC,CDs & Vinyl,575381.0,
679,Jane's Addiction,"'Metal', 'Alternative Metal'",Jane's Addiction,CDs & Vinyl,57350.0,
674,Bandwagonesque,"'Alternative Rock', 'British Alternative', 'Britpop'",Teenage Fanclub,CDs & Vinyl,23274.0,
656,To Live &amp; Die In L.A. Soundtrack,"'Alternative Rock', 'New Wave'",Wang Chung,CDs & Vinyl,31132.0,
637,Time's Makin' Changes - The Best of Tesla,"'Classic Rock', 'Glam'",Tesla,CDs & Vinyl,14119.0,
671,The Simpsons Sing The Blues,"'Soundtracks', 'Television Soundtracks'",The Simpsons,CDs & Vinyl,65858.0,
673,Love Hurts,"'Pop', 'Adult Contemporary'",Sonny & Cher,CDs & Vinyl,25148.0,
681,Complete,"'World Music', 'Europe', 'British Isles', 'Britain'",National Health,CDs & Vinyl,133973.0,
685,Third Reich N Roll,"'Alternative Rock', 'Punk'",Residents,CDs & Vinyl,994112.0,
686,Commercial Album,"'Alternative Rock', 'Punk'",Residents,CDs & Vinyl,908999.0,
682,Legend,"'Rock', 'Progressive', 'Progressive Rock'",Henry Cow,CDs & Vinyl,387305.0,
690,Moving Waves,"'World Music', 'Europe', 'Continental Europe', 'Netherlands'",Focus,CDs & Vinyl,480121.0,
693,Singles Going Steady,"'World Music', 'Europe', 'British Isles', 'Britain'",Buzzcocks,CDs & Vinyl,156002.0,
692,Puzzle,"'Pop', 'Adult Alternative'",Dada,CDs & Vinyl,61669.0,
695,Forbidden,"'Metal', 'British Metal'",Black Sabbath,CDs & Vinyl,56889.0,
701,In 3-D,'Comedic Music',Weird Al Yankovic,CDs & Vinyl,562496.0,
704,Vital Signs,'Classic Rock',Survivor,CDs & Vinyl,1222993.0,
706,Jesus Freak,'Christian',dc Talk,CDs & Vinyl,145757.0,
705,Take Me to Your Leader,'Christian',Newsboys,CDs & Vinyl,135015.0,
715,Kerosene Hat,'Classic Rock',Cracker,CDs & Vinyl,26679.0,
714,American Caesar,"'Alternative Rock', 'Proto Punk'",Iggy Pop,CDs & Vinyl,447274.0,
724,It's Only Rock 'n' Roll,'Classic Rock',The Rolling Stones,CDs & Vinyl,153082.0,
727,Sticky Fingers,'Classic Rock',The Rolling Stones,CDs & Vinyl,158257.0,
735,Mamouna,'Classic Rock',Bryan Ferry,CDs & Vinyl,465228.0,
723,Tattoo You,'Classic Rock',The Rolling Stones,CDs & Vinyl,175044.0,
730,Dirty Work,'Classic Rock',The Rolling Stones,CDs & Vinyl,26832.0,
738,Thrak,"'Rock', 'Progressive', 'Progressive Rock'",King Crimson,CDs & Vinyl,270053.0,
743,Cheapness &amp; Beauty,'Alternative Rock',Boy George,CDs & Vinyl,277548.0,
751,Let's Dance,'Alternative Rock',David Bowie,CDs & Vinyl,481021.0,
762,Nude &amp; Rude: Best of Iggy Pop,"'Alternative Rock', 'American Punk'",Iggy Pop,CDs & Vinyl,44533.0,
758,Spice,"'Pop', 'Adult Contemporary'",Spice Girls,CDs & Vinyl,30052.0,
753,<span id=parentalAdvisory class=a-size-medium a-color-secondary a-text-normal,,Geto Boys,CDs & Vinyl,368725.0,
766,Very Best of After 7,"'Blues', 'Contemporary Blues'",After 7,CDs & Vinyl,43524.0,
749,The Great Escape,"'Alternative Rock', 'British Alternative', 'Britpop'",Blur,CDs & Vinyl,60141.0,
760,Archaeology,'Comedic Music',Rutles,CDs & Vinyl,135686.0,
757,"Enigma 3: Le Roi Est Mort, Vive Le Roi!",'World Dance',Enigma,CDs & Vinyl,50278.0,
716,Cuckoo,"'Alternative Rock', 'Shoegazing'",Curve,CDs & Vinyl,224835.0,
772,The Velvet Rope,"'Pop', 'Adult Contemporary'",Janet Jackson,CDs & Vinyl,4377.0,
720,Far From Home,"'Rock', 'Progressive', 'Progressive Rock'",Traffic,CDs & Vinyl,85261.0,
739,We Can'T Be Stopped,,Geto Boys,CDs & Vinyl,27216.0,
767,<span id=parentalAdvisory class=a-size-medium a-color-secondary a-text-normal,"'Pop', 'Dance Pop'",Scarface,CDs & Vinyl,43663.0,
768,Blur,"'Alternative Rock', 'British Alternative', 'Britpop'",Blur,CDs & Vinyl,118696.0,
773,Urban Hymns,"'Alternative Rock', 'British Alternative', 'Britpop'",The Verve,CDs & Vinyl,15639.0,
782,Roll With It,'Soul',Steve Winwood,CDs & Vinyl,60377.0,
779,Secrets of the Beehive,"'Alternative Rock', 'Ambient Pop'",David Sylvian,CDs & Vinyl,366094.0,
791,Shut Up &amp; Dance: Remixes,"'Pop', 'Adult Contemporary'",Paula Abdul,CDs & Vinyl,322582.0,
770,The Fifth Element,"'Soundtracks', 'Movie Scores'",Eric Serra,CDs & Vinyl,59439.0,
777,Broadcast,'Pop',Cutting Crew,CDs & Vinyl,245324.0,
797,Spellbound,"'Pop', 'Adult Contemporary'",Paula Abdul,CDs & Vinyl,322846.0,
776,The Mission: Original Soundtrack From The Motion Picture,"'Soundtracks', 'Movie Scores'",Ennio Morricone,CDs & Vinyl,6498.0,
795,Refugees of the Heart,'Soul',Steve Winwood,CDs & Vinyl,369606.0,
787,<span id=parentalAdvisory class=a-size-medium a-color-secondary a-text-normal,'Alternative Rock',Lenny Kravitz,CDs & Vinyl,118703.0,
808,A Storm in Heaven,"'Alternative Rock', 'British Alternative', 'Britpop'",The Verve,CDs & Vinyl,178940.0,
775,Songs of Sanctuary,"'New Age', 'Meditation'",Adiemus,CDs & Vinyl,16320.0,
818,Willy and the Poor Boys,'Classic Rock',Creedence Clearwater Revival,CDs & Vinyl,381762.0,
814,Blue Ridge Rangers,'Classic Rock',John Fogerty,CDs & Vinyl,95812.0,
823,A Boy Named Charlie Brown: The Original Sound Track Recording Of The CBS Television Special,"'Soundtracks', 'Movie Soundtracks'",Vince Guaraldi,CDs & Vinyl,56030.0,
825,The English Patient: Original Soundtrack Recording,"'Soundtracks', 'Movie Scores'",Gabriel Yared,CDs & Vinyl,84285.0,
826,At The Village Vanguard,"'Jazz', 'Bebop'",Bill Evans,CDs & Vinyl,73052.0,
833,Monk's Music,"'Jazz', 'Bebop'",Thelonious Monk,CDs & Vinyl,443864.0,
838,Boss Guitar,"'Jazz', 'Bebop'",Wes Montgomery,CDs & Vinyl,558982.0,
841,Art Pepper Meets the Rhythm Section,"'Jazz', 'Bebop'",Art Pepper,CDs & Vinyl,26035.0,
842,Steamin' With the Miles Davis Quintet,"'Jazz', 'Bebop'",Miles Davis Quintet,CDs & Vinyl,231669.0,
848,Mclemore Avenue,"'Soul', 'Southern Soul'",Booker T. & The MG's,CDs & Vinyl,297838.0,
855,Tales From the Thousand Lakes,"'Rock', 'Progressive', 'Progressive Metal'",Amorphis,CDs & Vinyl,620861.0,
856,Elegy,"'Rock', 'Progressive', 'Progressive Metal'",Amorphis,CDs & Vinyl,924202.0,
859,Jesus of Cool,"'Alternative Rock', 'New Wave'",Nick Lowe,CDs & Vinyl,734733.0,
857,Through Silver in Blood,"'Alternative Rock', 'Punk'",Neurosis,CDs & Vinyl,30197.0,
860,Growers of Mushroom,"'Classic Rock', 'Psychedelic Rock'",Leaf Hound,CDs & Vinyl,2198726.0,
863,A Gift From A Flower To A Garden,"'Folk', 'British Folk'",Donovan,CDs & Vinyl,131462.0,
876,<span id=parentalAdvisory class=a-size-medium a-color-secondary a-text-normal,'Soul',Outkast,CDs & Vinyl,39987.0,
875,CrazySexyCool,'Electronica',TLC,CDs & Vinyl,127318.0,
880,<span id=parentalAdvisory class=a-size-medium a-color-secondary a-text-normal,'Experimental Rap',Outkast,CDs & Vinyl,14104.0,
874,Toni Braxton,"'Pop', 'Adult Contemporary'",Toni Braxton,CDs & Vinyl,140375.0,
872,Ooooooohhh...On the TLC Tip,"'Pop', 'Dance Pop'",TLC,CDs & Vinyl,40631.0,
878,Secrets,"'Pop', 'Adult Contemporary'",Toni Braxton,CDs & Vinyl,64563.0,
877,<span id=parentalAdvisory class=a-size-medium a-color-secondary a-text-normal,'Soul',Goodie Mob,CDs & Vinyl,21527.0,
882,Gorecki: Symphony No. 3 / Three Olden Style Pieces,"'Classical', 'Symphonies'",Henryk Gorecki,CDs & Vinyl,35174.0,
883,Cosmic Tones for Mental Therapy / Art Forms of,"'Jazz', 'Swing Jazz', 'Contemporary Big Band'",Sun Ra,CDs & Vinyl,185803.0,
884,Atlantis,"'Jazz', 'Swing Jazz', 'Contemporary Big Band'",Sun Ra,CDs & Vinyl,162069.0,
885,Conan The Barbarian Soundtrack,"'Soundtracks', 'Movie Scores'",Basil Poledouris,CDs & Vinyl,53481.0,
886,Air Force One Soundtrack,"'Soundtracks', 'Movie Scores'",Jerry Goldsmith,CDs & Vinyl,165941.0,
887,Gettysburg: Music From The Soundtrack,"'Pop', 'Soft Rock'",Randy Edelman,CDs & Vinyl,37826.0,
888,Stargate Soundtrack,"'Soundtracks', 'Movie Scores'",David Arnold,CDs & Vinyl,161876.0,
889,<span id=parentalAdvisory class=a-size-medium a-color-secondary a-text-normal,'Funk',2Pac,CDs & Vinyl,63189.0,
891,Paegan Terrorism Tactics,"'Alternative Rock', 'Industrial'",Acid Bath,CDs & Vinyl,33196.0,
890,When The Kite String Pops,"'Alternative Rock', 'Industrial'",Acid Bath,CDs & Vinyl,13542.0,
892,The Waking Hour,"'Alternative Rock', 'Goth'",Dalis Car,CDs & Vinyl,449507.0,
896,DEEP,"'Alternative Rock', 'Goth'",Peter Murphy,CDs & Vinyl,84204.0,
895,Love Hysteria,"'Alternative Rock', 'Goth'",Peter Murphy,CDs & Vinyl,275863.0,
894,DREAMTIME,"'Alternative Rock', 'Goth'",The Cult,CDs & Vinyl,39196.0,
893,"Bauhaus Singles: 1979-1983, Volume 1","'Alternative Rock', 'Goth'",Bauhaus,CDs & Vinyl,135173.0,
897,Let It Be,"'Alternative Rock', 'Indie Rock'",The Replacements,CDs & Vinyl,66766.0,
899,SPIDERLAND,"'Alternative Rock', 'Emo'",Slint,CDs & Vinyl,23327.0,
901,Liar,"'Alternative Rock', 'Indie Rock'",Jesus Lizard,CDs & Vinyl,665261.0,
898,SONGS ABOUT FUCKING,"'Alternative Rock', 'Punk'",Big Black,CDs & Vinyl,30125.0,
900,Goat,"'Alternative Rock', 'Indie Rock'",Jesus Lizard,CDs & Vinyl,534863.0,
902,In the Aeroplane Over the Sea,"'Alternative Rock', 'Indie Rock'",Neutral Milk Hotel,CDs & Vinyl,343213.0,
903,Tilt,"'Rock', 'Progressive', 'Progressive Rock'",Scott Walker,CDs & Vinyl,293533.0,
904,Blues for Red Sun,"'Metal', 'Alternative Metal'",Kyuss,CDs & Vinyl,145148.0,
907,Music of My Mind,'Classic Rock',Stevie Wonder,CDs & Vinyl,631520.0,
910,Songs in the Key of Life,'Classic Rock',Stevie Wonder,CDs & Vinyl,340844.0,
906,Mister Magic,"'Jazz', 'Smooth Jazz'",Grover Washington Jr.,CDs & Vinyl,32335.0,
911,My Gift to You,'Noels',Alexander O'Neal,CDs & Vinyl,471618.0,
912,The Mack,'Funk',Willie Hutch,CDs & Vinyl,102306.0,
914,Anthology,"'Pop', 'Oldies', 'Girl Groups'",The Supremes,CDs & Vinyl,523016.0,
909,Innervisions,'Classic Rock',Stevie Wonder,CDs & Vinyl,348775.0,
918,Ultimate Collection,"'Pop', 'Oldies', 'Bubblegum'",Jackson 5,CDs & Vinyl,11557.0,
920,Let's Get The Mood Right,,Johnny Gill,CDs & Vinyl,132763.0,
917,Natural Wonder: Live in Concert,"'Classic Rock', 'Psychedelic Rock'",Stevie Wonder,CDs & Vinyl,132522.0,
924,"Signed, Sealed And Delivered","'Pop', 'Oldies'",Stevie Wonder,CDs & Vinyl,58632.0,
922,Stevie Wonder - Song Review: A Greatest Hits Collection,"'Classic Rock', 'Psychedelic Rock'",Stevie Wonder,CDs & Vinyl,13120.0,
925,A Quiet Storm,,Smokey Robinson,CDs & Vinyl,82975.0,
913,Marvin Gaye: The Master 1961-1984,"'Classic Rock', 'Psychedelic Rock'",Marvin Gaye,CDs & Vinyl,157329.0,
