item_id:token,movie_title:token_seq,release_year:token,class:token_seq
163,"Firm, The",1993,Drama Thriller
293,Free Willy,1993,Adventure Children's Drama
147,"Fugitive, The",1993,Action Thriller
308,Hot Shots! Part Deux,1993,Action Comedy War
382,"Hudsucker Proxy, The",1994,Comedy Romance
220,Jurassic Park,1993,Action Adventure Sci-Fi
619,Much Ado About Nothing,1993,Comedy Romance
542,"Ref, The",1994,Comedy
8,"Remains of the Day, The",1993,Drama
504,Searching for Bobby Fischer,1993,Drama
31,Sleepless in Seattle,1993,Comedy Romance
207,Blade Runner,1982,Film-Noir Sci-Fi
684,So I Married an Axe Murderer,1993,Comedy Romance Thriller
489,"Nightmare Before Christmas, The",1993,Children's Comedy Musical
460,True Romance,1993,Action Crime Romance
493,Welcome to the Dollhouse,1995,Comedy Drama
342,Home Alone,1990,Children's Comedy
24,Aladdin,1992,Animation Children's Comedy Musical
95,Terminator 2: Judgment Day,1991,Action Sci-Fi Thriller
300,Dances with Wolves,1990,Adventure Drama Western
29,"Silence of the Lambs, The",1991,Drama Thriller
444,Snow White and the Seven Dwarfs,1937,Animation Children's Musical
45,Fargo,1996,Crime Drama Thriller
694,Heavy Metal,1981,Action Adventure Animation Horror Sci-Fi
643,"Aristocats, The",1970,Animation Children's
510,Sgt. Bilko,1996,Comedy
181,Diabolique,1996,Drama Thriller
518,Moll Flanders,1996,Drama
824,Kids in the Hall: Brain Candy,1996,Comedy
189,Mystery Science Theater 3000: The Movie,1996,Comedy Sci-Fi
481,Operation Dumbo Drop,1995,Action Adventure Comedy War
78,"Truth About Cats & Dogs, The",1996,Comedy Romance
913,Flipper,1996,Adventure Children's
558,Wallace & Gromit: The Best of Aardman Animation,1996,Animation
741,Cold Comfort Farm,1995,Comedy
132,"Rock, The",1996,Action Adventure Thriller
21,Twister,1996,Action Adventure Thriller
432,Striptease,1996,Comedy Crime
380,Independence Day (ID4),1996,Action Sci-Fi War
471,"Cable Guy, The",1996,Comedy
739,"Frighteners, The",1996,Comedy Horror
748,Lone Star,1996,Drama Mystery
508,Phenomenon,1996,Drama Romance
366,"Spitfire Grill, The",1996,Drama
180,"Godfather, The",1972,Action Crime Drama
413,Supercop,1992,Action Thriller
462,Bound,1996,Crime Drama Romance Thriller
933,Kansas City,1996,Crime
503,Breakfast at Tiffany's,1961,Drama Romance
93,"Wizard of Oz, The",1939,Adventure Children's Drama Musical
210,Gone with the Wind,1939,Drama Romance War
245,Citizen Kane,1941,Drama
112,2001: A Space Odyssey,1968,Drama Mystery Sci-Fi Thriller
788,Mr. Smith Goes to Washington,1939,Drama
140,Big Night,1996,Drama
718,"Love Bug, The",1969,Children's Comedy
116,Homeward Bound: The Incredible Journey,1993,Adventure Children's
208,"20,000 Leagues Under the Sea",1954,Adventure Children's Fantasy Sci-Fi
364,Bedknobs and Broomsticks,1971,Adventure Children's Musical
52,"Sound of Music, The",1965,Musical
20,Die Hard,1988,Action Thriller
205,"Lawnmower Man, The",1992,Action Sci-Fi Thriller
419,"Long Kiss Goodnight, The",1996,Action Thriller
529,"Ghost and the Darkness, The",1996,Action Adventure
746,Jude,1996,Drama
350,Swingers,1996,Comedy Drama
96,Willy Wonka and the Chocolate Factory,1971,Adventure Children's Comedy
464,Sleeper,1973,Comedy Sci-Fi
211,"Fish Called Wanda, A",1988,Comedy
83,Monty Python's Life of Brian,1979,Comedy
486,Dirty Dancing,1987,Musical Romance
330,Reservoir Dogs,1992,Crime Thriller
654,Platoon,1986,Drama War
793,Weekend at Bernie's,1989,Comedy
765,Basic Instinct,1992,Mystery Thriller
236,Glengarry Glen Ross,1992,Drama
423,Top Gun,1986,Action Romance
498,On Golden Pond,1981,Drama
285,"Return of the Pink Panther, The",1974,Comedy
141,"Abyss, The",1989,Action Adventure Sci-Fi Thriller
67,Jean de Florette,1986,Drama
577,Manon of the Spring (Manon des sources),1986,Drama
707,Private Benjamin,1980,Comedy
346,Monty Python and the Holy Grail,1974,Comedy
261,"Wrong Trousers, The",1993,Animation Comedy
736,Cinema Paradiso,1988,Comedy Drama Romance
190,Delicatessen,1991,Comedy Sci-Fi
153,"Empire Strikes Back, The",1980,Action Adventure Drama Romance Sci-Fi War
301,"Princess Bride, The",1987,Action Adventure Comedy Romance
94,Raiders of the Lost Ark,1981,Action Adventure
270,Brazil,1985,Sci-Fi
292,Aliens,1986,Action Sci-Fi Thriller War
137,"Good, The Bad and The Ugly, The",1966,Action Western
176,12 Angry Men,1957,Drama
454,"Clockwork Orange, A",1971,Sci-Fi
523,Apocalypse Now,1979,Drama War
48,Return of the Jedi,1983,Action Adventure Romance Sci-Fi War
335,GoodFellas,1990,Crime Drama
241,Alien,1979,Action Horror Sci-Fi Thriller
352,Army of Darkness,1993,Action Adventure Comedy Horror Sci-Fi
340,Psycho,1960,Horror Romance Thriller
288,"Blues Brothers, The",1980,Action Comedy Musical
338,"Godfather: Part II, The",1974,Action Crime Drama
297,Full Metal Jacket,1987,Action Drama War
224,"Grand Day Out, A",1992,Animation Comedy
445,Henry V,1989,Drama War
240,Amadeus,1984,Drama Mystery
645,Raging Bull,1980,Drama
30,"Right Stuff, The",1983,Drama
32,"Sting, The",1973,Comedy Crime
106,"Terminator, The",1984,Action Sci-Fi Thriller
49,Dead Poets Society,1989,Drama
257,"Graduate, The",1967,Drama Romance
223,Nikita (La Femme Nikita),1990,Thriller
259,"Bridge on the River Kwai, The",1957,Drama War
107,"Shining, The",1980,Horror
41,Evil Dead II,1987,Action Adventure Comedy Horror
170,Groundhog Day,1993,Comedy Romance
467,Unforgiven,1992,Western
234,Back to the Future,1985,Comedy Sci-Fi
642,Patton,1970,Drama War
274,Akira,1988,Adventure Animation Sci-Fi Thriller
616,Cyrano de Bergerac,1990,Action Drama Romance
90,Young Frankenstein,1974,Comedy Horror
87,This Is Spinal Tap,1984,Comedy Drama Musical
326,Indiana Jones and the Last Crusade,1989,Action Adventure
321,M*A*S*H,1970,Comedy War
247,"Unbearable Lightness of Being, The",1988,Drama
519,"Room with a View, A",1986,Drama Romance
186,Pink Floyd - The Wall,1982,Drama Musical War
231,Field of Dreams,1989,Drama
158,When Harry Met Sally...,1989,Comedy Romance
317,Bram Stoker's Dracula,1992,Horror Romance
201,Cape Fear,1991,Thriller
57,"Nightmare on Elm Street, A",1984,Horror
167,"Mirror Has Two Faces, The",1996,Comedy Romance
545,Breaking the Waves,1996,Drama
11,Star Trek: First Contact,1996,Action Adventure Sci-Fi
569,Sling Blade,1996,Drama Thriller
837,Ridicule,1996,Drama
412,101 Dalmatians,1996,Children's Comedy
670,Die Hard 2,1990,Action Thriller
239,Star Trek VI: The Undiscovered Country,1991,Action Adventure Sci-Fi
173,Star Trek: The Wrath of Khan,1982,Action Adventure Sci-Fi
71,Star Trek III: The Search for Spock,1984,Action Adventure Sci-Fi
439,Star Trek IV: The Voyage Home,1986,Action Adventure Sci-Fi
138,Batman Returns,1992,Action Adventure Comedy Crime
61,Young Guns,1988,Action Comedy Western
465,Under Siege,1992,Action
27,Jaws,1975,Action Horror
172,Mars Attacks!,1996,Action Comedy Sci-Fi War
915,Citizen Ruth,1996,Comedy Drama
72,Jerry Maguire,1996,Drama Romance
309,Raising Arizona,1987,Comedy
512,Sneakers,1992,Crime Drama Sci-Fi
388,Beavis and Butt-head Do America,1996,Animation Comedy
42,"Last of the Mohicans, The",1992,Action Romance War
1,Kolya,1996,Comedy
598,Jungle2Jungle,1997,Children's Comedy
678,Smilla's Sense of Snow,1997,Action Drama Thriller
111,"Devil's Own, The",1997,Action Drama Thriller War
28,Chasing Amy,1997,Drama Romance
69,Grosse Pointe Blank,1997,Comedy Crime
361,Austin Powers: International Man of Mystery,1997,Comedy
286,"Fifth Element, The",1997,Action Sci-Fi
482,Shall We Dance?,1996,Comedy
329,"Lost World: Jurassic Park, The",1997,Action Adventure Sci-Fi Thriller
584,"Pillow Book, The",1995,Drama Romance
630,Batman & Robin,1997,Action Adventure Crime
168,My Best Friend's Wedding,1997,Comedy Romance
9,Men in Black,1997,Action Adventure Comedy Sci-Fi
148,Contact,1997,Drama Sci-Fi
318,George of the Jungle,1997,Children's Comedy
704,Event Horizon,1997,Action Mystery Sci-Fi Thriller
821,Air Bud,1997,Children's Comedy
742,In the Company of Men,1997,Drama
110,Mimic,1997,Sci-Fi Thriller
5,"Hunt for Red October, The",1990,Action Thriller
784,Kull the Conqueror,1997,Action Adventure
131,Chasing Amy,1997,Drama Romance
453,"Full Monty, The",1997,Comedy
801,Gattaca,1997,Drama Sci-Fi Thriller
253,Starship Troopers,1997,Action Adventure Sci-Fi War
123,Good Will Hunting,1997,Drama
133,Heat,1995,Action Crime Thriller
16,Sabrina,1995,Comedy Romance
84,Sense and Sensibility,1995,Drama Romance
621,Leaving Las Vegas,1995,Drama Romance
26,Restoration,1995,Drama
327,Bed of Roses,1996,Drama Romance
307,Once Upon a Time... When We Were Colored,1995,Drama
169,Up Close and Personal,1996,Drama Romance
142,"River Wild, The",1994,Action Thriller
583,"Time to Kill, A",1996,Drama
548,Emma,1996,Drama Romance
383,Tin Cup,1996,Comedy Romance
473,Secrets & Lies,1996,Drama
271,"English Patient, The",1996,Drama Romance War
450,Marvin's Room,1996,Drama
56,Scream,1996,Horror Thriller
339,Evita,1996,Drama Musical
631,Fierce Creatures,1997,Comedy
280,Absolute Power,1997,Mystery Thriller
394,Rosewood,1997,Drama
400,Donnie Brasco,1997,Crime Drama
89,Liar Liar,1997,Comedy
415,Breakdown,1997,Action Thriller
805,Ulee's Gold,1997,Drama
144,Face/Off,1997,Action Sci-Fi Thriller
536,Hoodlum,1997,Crime Drama Film-Noir
587,Air Force One,1997,Action Thriller
381,In & Out,1997,Comedy
2,L.A. Confidential,1997,Crime Film-Noir Mystery Thriller
230,Ulee's Gold,1997,Drama
37,Fly Away Home,1996,Adventure Children's
325,"Ice Storm, The",1997,Drama
359,"Mrs. Brown (Her Majesty, Mrs. Brown)",1997,Drama Romance
97,"Devil's Advocate, The",1997,Crime Horror Mystery Thriller
601,FairyTale: A True Story,1997,Children's Drama Fantasy
617,Deceiver,1997,Crime
472,"Rainmaker, The",1997,Drama
700,"Wings of the Dove, The",1997,Drama Romance Thriller
830,Midnight in the Garden of Good and Evil,1997,Comedy Crime Drama Mystery
638,Titanic,1997,Action Drama Romance
305,Apt Pupil,1998,Drama Thriller
572,As Good As It Gets,1997,Comedy Drama
105,In the Name of the Father,1993,Drama
191,Schindler's List,1993,Drama War
520,Everyone Says I Love You,1996,Comedy Musical Romance
709,Paradise Lost: The Child Murders at Robin Hood Hills,1996,Documentary
237,Mother,1996,Comedy
47,Murder at 1600,1997,Mystery Thriller
136,Dante's Peak,1997,Action Thriller
458,Lost Highway,1997,Mystery
311,Crash,1996,Drama Thriller
738,G.I. Jane,1997,Action Drama War
40,Cop Land,1997,Crime Drama Mystery
152,Conspiracy Theory,1997,Action Mystery Romance Thriller
763,Desperate Measures,1998,Crime Drama Thriller
781,187,1997,Drama
553,"Edge, The",1997,Adventure Thriller
44,Kiss the Girls,1997,Crime Drama Thriller
263,"Game, The",1997,Mystery Thriller
203,U Turn,1997,Action Crime Mystery
566,How to Be a Player,1997,Comedy
799,Playing God,1997,Crime Thriller
80,Bean,1997,Comedy
555,Mad City,1997,Action Drama
664,Boogie Nights,1997,Drama
887,"Man Who Knew Too Little, The",1997,Comedy Mystery
238,Alien: Resurrection,1997,Action Horror Sci-Fi
204,"Apostle, The",1997,Drama
727,Deconstructing Harry,1997,Comedy Drama
99,Jackie Brown,1997,Crime Drama
175,Wag the Dog,1997,Comedy Drama
800,Desperate Measures,1998,Crime Drama Thriller
904,Hard Rain,1998,Action Thriller
332,Fallen,1998,Action Mystery Thriller
890,"Prophecy II, The",1998,Horror
833,Spice World,1997,Comedy Musical
509,"Wedding Singer, The",1998,Comedy Romance
554,Sphere,1998,Adventure Sci-Fi Thriller
688,"Client, The",1994,Drama Mystery Thriller
227,One Flew Over the Cuckoo's Nest,1975,Drama
838,Spawn,1997,Action Adventure Sci-Fi Thriller
849,Blues Brothers 2000,1998,Action Comedy Musical
586,Sudden Death,1995,Action
636,Ace Ventura: When Nature Calls,1995,Comedy
337,Powder,1995,Drama
75,Dangerous Minds,1995,Drama
215,Clueless,1995,Comedy
120,Bio-Dome,1996,Comedy
731,Black Sheep,1996,Comedy
360,Mary Reilly,1996,Drama Thriller
353,"Bridges of Madison County, The",1995,Drama Romance
565,Jeffrey,1995,Comedy
884,Judge Dredd,1995,Action Adventure Sci-Fi
500,Showgirls,1995,Drama
389,Houseguest,1994,Comedy
266,Miracle on 34th Street,1994,Drama
117,Tales From the Crypt Presents: Demon Knight,1995,Horror
525,Star Trek: Generations,1994,Action Adventure Sci-Fi
356,Muriel's Wedding,1994,Comedy Romance
86,"Adventures of Priscilla, Queen of the Desert, The",1994,Comedy Drama
876,"Flintstones, The",1994,Children's Comedy
51,Naked Gun 33 1/3: The Final Insult,1994,Comedy
108,True Lies,1994,Action Adventure Comedy Romance
552,Addams Family Values,1993,Comedy
15,"Age of Innocence, The",1993,Drama
924,Beverly Hills Cop III,1994,Action Comedy
846,Black Beauty,1994,Adventure Children's
811,Last Action Hero,1993,Action Comedy
18,"Man Without a Face, The",1993,Drama
488,Mrs. Doubtfire,1993,Comedy
697,Robin Hood: Men in Tights,1993,Comedy
607,Serial Mom,1994,Comedy Crime Horror
857,Super Mario Bros.,1993,Action Adventure Children's Sci-Fi
392,"Three Musketeers, The",1993,Action Adventure Comedy
196,"Brady Bunch Movie, The",1995,Comedy
275,Ghost,1990,Comedy Romance Thriller
77,Batman,1989,Action Adventure Crime Drama
324,Pinocchio,1940,Animation Children's
128,Mission: Impossible,1996,Action Adventure Mystery
349,Thinner,1996,Horror Thriller
312,Spy Hard,1996,Comedy
171,"Close Shave, A",1995,Animation Comedy Thriller
405,Jack,1996,Comedy Drama
251,Kingpin,1996,Comedy
590,"Nutty Professor, The",1996,Comedy Fantasy Romance Sci-Fi
475,"Very Brady Sequel, A",1996,Comedy
737,Tales from the Crypt Presents: Bordello of Blood,1996,Horror
744,My Favorite Year,1982,Comedy
873,"Apple Dumpling Gang, The",1975,Children's Comedy Western
66,Old Yeller,1957,Children's Drama
397,"Parent Trap, The",1961,Children's Drama
502,Cinderella,1950,Animation Children's Musical
127,Mary Poppins,1964,Children's Comedy Musical
752,Alice in Wonderland,1951,Animation Children's Musical
478,William Shakespeare's Romeo and Juliet,1996,Drama Romance
894,Aladdin and the King of Thieves,1996,Animation Children's Comedy
53,E.T. the Extra-Terrestrial,1982,Children's Drama Fantasy Sci-Fi
267,Bob Roberts,1992,Comedy
594,"Transformers: The Movie, The",1986,Action Animation Children's Sci-Fi Thriller War
62,To Kill a Mockingbird,1962,Drama
585,Harold and Maude,1971,Comedy
576,"Day the Earth Stood Still, The",1951,Drama Sci-Fi
243,Duck Soup,1933,Comedy War
333,Highlander,1986,Action Adventure
46,Fantasia,1940,Animation Children's Musical
443,Heathers,1989,Comedy
836,Forbidden Planet,1956,Sci-Fi
568,Butch Cassidy and the Sundance Kid,1969,Action Comedy Western
294,"American Werewolf in London, An",1981,Horror
683,"Amityville Horror, The",1979,Horror
145,"Birds, The",1963,Horror
848,"Blob, The",1958,Horror Sci-Fi
823,"Body Snatcher, The",1945,Horror
474,Carrie,1976,Horror
373,"Omen, The",1976,Horror
425,Star Trek: The Motion Picture,1979,Action Adventure Sci-Fi
570,Star Trek V: The Final Frontier,1989,Action Adventure Sci-Fi
7,Grease,1978,Comedy Musical Romance
160,Jaws 2,1978,Action Horror
149,Jackie Chan's First Strike,1996,Action
764,Beverly Hills Ninja,1997,Action Comedy
691,Free Willy 3: The Rescue,1997,Adventure Children's Drama
865,Nixon,1995,Drama
932,"Cry, the Beloved Country",1995,Drama
302,"Crossing Guard, The",1995,Drama
461,Smoke,1995,Drama
281,Like Water For Chocolate (Como agua para chocolate),1992,Drama Romance
470,"Secret of Roan Inish, The",1994,Adventure
729,Vanya on 42nd Street,1994,Drama
6,"Jungle Book, The",1994,Adventure Children's Romance
130,Red Rock West,1992,Thriller
812,"Bronx Tale, A",1993,Drama
216,Rudy,1993,Drama
650,Short Cuts,1993,Drama
660,Tombstone,1993,Western
114,Courage Under Fire,1996,Drama War
491,Dragonheart,1996,Action Adventure Fantasy
687,James and the Giant Peach,1996,Animation Children's Musical
4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1963,Sci-Fi War
334,Trainspotting,1996,Drama
164,"First Wives Club, The",1996,Comedy
490,Matilda,1996,Children's Comedy
177,"Philadelphia Story, The",1940,Comedy Romance
119,Vertigo,1958,Mystery Thriller
73,North by Northwest,1959,Comedy Thriller
778,"Apartment, The",1960,Comedy Drama
620,Some Like It Hot,1959,Comedy Crime
165,Casablanca,1942,Drama Romance War
228,"Maltese Falcon, The",1941,Film-Noir Mystery
104,My Fair Lady,1964,Musical Romance
19,Sabrina,1954,Comedy Romance
448,Roman Holiday,1953,Comedy Romance
557,Sunset Blvd.,1950,Film-Noir
766,Notorious,1946,Film-Noir Romance Thriller
745,To Catch a Thief,1955,Comedy Romance Thriller
496,"Adventures of Robin Hood, The",1938,Action Adventure
421,East of Eden,1955,Drama
641,"Thin Man, The",1934,Mystery
644,His Girl Friday,1940,Comedy
771,Around the World in 80 Days,1956,Adventure Comedy
92,It's a Wonderful Life,1946,Drama
401,Bringing Up Baby,1938,Comedy
85,"African Queen, The",1951,Action Adventure Romance War
613,Cat on a Hot Tin Roof,1958,Drama
795,Fly Away Home,1996,Adventure Children's
221,Dumbo,1941,Animation Children's Musical
780,Bananas,1971,Comedy War
899,"Candidate, The",1972,Drama
129,Bonnie and Clyde,1967,Crime Drama
306,Dial M for Murder,1954,Mystery Thriller
440,Rebel Without a Cause,1955,Drama
214,"Streetcar Named Desire, A",1951,Drama
229,"People vs. Larry Flynt, The",1996,Drama
427,My Left Foot,1989,Drama
564,"Magnificent Seven, The",1954,Action Drama Western
497,Lawrence of Arabia,1962,Adventure War
63,Wings of Desire,1987,Comedy Drama Romance
499,"Third Man, The",1949,Mystery Thriller
102,Annie Hall,1977,Comedy Romance
54,"Boot, Das",1981,Action Drama War
543,Local Hero,1983,Comedy
547,Manhattan,1979,Comedy Drama Romance
76,Miller's Crossing,1990,Drama
814,"Treasure of the Sierra Madre, The",1948,Adventure
219,"Great Escape, The",1963,Adventure War
760,"Deer Hunter, The",1978,Drama War
277,Down by Law,1986,Comedy Drama
514,Cool Hand Luke,1967,Comedy Drama
532,"Great Dictator, The",1940,Comedy
663,"Big Sleep, The",1946,Film-Noir Mystery
58,Ben-Hur,1959,Action Adventure Drama
591,Gandhi,1982,Drama
667,"Killing Fields, The",1984,Drama War
675,My Life as a Dog (Mitt liv som hund),1985,Drama
666,"Man Who Would Be King, The",1975,Adventure
313,Shine,1996,Drama Romance
779,Kama Sutra: A Tale of Love,1996,Romance
659,Addicted to Love,1997,Comedy Romance
896,My Own Private Idaho,1991,Drama
905,Anastasia,1997,Animation Children's Musical
634,Mouse Hunt,1997,Children's Comedy
399,Money Train,1995,Action
923,Mortal Kombat,1995,Action Adventure
632,Pocahontas,1995,Animation Children's Musical Romance
484,"Mis̩rables, Les",1995,Drama Musical
735,Things to Do in Denver when You're Dead,1995,Crime Drama Romance
23,Broken Arrow,1996,Action Thriller
653,"Young Poisoner's Handbook, The",1995,Crime
809,Rob Roy,1995,Drama Romance War
347,Die Hard: With a Vengeance,1995,Action Thriller
869,Lord of Illusions,1995,Horror
612,Species,1995,Sci-Fi
637,"Walk in the Clouds, A",1995,Drama Romance
188,Waterworld,1995,Action Adventure
272,Heavenly Creatures,1994,Drama Fantasy Thriller
134,Interview with the Vampire,1994,Drama Horror
726,"Kid in King Arthur's Court, A",1995,Adventure Children's Comedy Fantasy Romance Sci-Fi
395,Mary Shelley's Frankenstein,1994,Drama Horror
789,"Quick and the Dead, The",1995,Action Adventure Western
864,Stephen King's The Langoliers,1995,Horror
39,Tales from the Hood,1995,Comedy Horror
926,Village of the Damned,1995,Horror Thriller
441,Clear and Present Danger,1994,Action Adventure Thriller
755,Wes Craven's New Nightmare,1994,Horror
192,Speed,1994,Action Romance Thriller
551,Wolf,1994,Drama Horror
749,Wyatt Earp,1994,Western
611,Another Stakeout,1993,Comedy Thriller
456,Blown Away,1994,Action Thriller
550,Body Snatchers,1993,Horror Sci-Fi Thriller
673,City Slickers II: The Legend of Curly's Gold,1994,Comedy Western
209,Cliffhanger,1993,Action Adventure Crime
265,Coneheads,1993,Comedy Sci-Fi
623,Demolition Man,1993,Action Sci-Fi
574,"Englishman Who Went Up a Hill, But Came Down a Mountain, The",1995,Comedy Romance
633,Kalifornia,1993,Drama Thriller
599,"Piano, The",1993,Drama Romance
480,Romeo Is Bleeding,1993,Crime Thriller
759,"Secret Garden, The",1993,Children's Drama
528,Son in Law,1993,Comedy
418,Terminal Velocity,1994,Action
404,Beauty and the Beast,1991,Animation Children's Musical
466,"Wild Bunch, The",1969,Western
195,Primal Fear,1996,Drama Thriller
217,"Fan, The",1996,Thriller
319,"Hunchback of Notre Dame, The",1996,Animation Children's Musical
262,Eraser,1996,Action Thriller
906,For Whom the Bell Tolls,1943,Adventure War
549,"American in Paris, An",1951,Musical Romance
33,Rear Window,1954,Mystery Thriller
299,It Happened One Night,1934,Comedy
672,Meet Me in St. Louis,1944,Musical
756,All About Eve,1950,Drama
803,Rebecca,1940,Romance Thriller
867,Spellbound,1945,Mystery Romance Thriller
411,Father of the Bride,1950,Comedy
796,Gigi,1958,Musical
363,Laura,1944,Crime Film-Noir Mystery
282,Lost Horizon,1937,Drama
850,My Man Godfrey,1936,Comedy
715,Giant,1956,Drama
693,"39 Steps, The",1935,Thriller
534,Night of the Living Dead,1968,Horror Sci-Fi
517,Extreme Measures,1996,Drama Thriller
422,"Chamber, The",1996,Drama
777,Swiss Family Robinson,1960,Adventure Children's
202,Angels in the Outfield,1994,Children's Comedy
722,"Three Caballeros, The",1945,Animation Children's Musical
79,"Sword in the Stone, The",1963,Animation Children's
610,Robin Hood: Prince of Thieves,1991,Drama
740,Sleepers,1996,Crime Drama
733,Victor/Victoria,1982,Comedy Musical
689,"Great Race, The",1965,Comedy Musical
295,"Crying Game, The",1992,Action Drama Romance War
410,Sophie's Choice,1982,Drama
842,"Christmas Carol, A",1938,Drama
515,Microcosmos: Le peuple de l'herbe,1996,Documentary
825,"Fog, The",1980,Horror
768,Escape from New York,1981,Action Adventure Sci-Fi Thriller
903,"Howling, The",1981,Comedy Horror
817,"Return of Martin Guerre, The (Retour de Martin Guerre, Le)",1982,Drama
893,"Tin Drum, The (Blechtrommel, Die)",1979,Drama
276,"Cook the Thief His Wife & Her Lover, The",1989,Drama
603,Paths of Glory,1957,Drama War
379,"Grifters, The",1990,Crime Drama Film-Noir
494,"Thin Blue Line, The",1988,Documentary
879,Paris Is Burning,1990,Documentary
874,Once Upon a Time in the West,1969,Western
622,Ran,1985,Drama War
98,"Quiet Man, The",1952,Comedy Romance
255,Once Upon a Time in America,1984,Crime Drama Thriller
708,"Seventh Seal, The (Sjunde inseglet, Det)",1957,Drama
571,Glory,1989,Action Drama War
712,Rosencrantz and Guildenstern Are Dead,1990,Comedy Drama
790,Touch of Evil,1958,Crime Film-Noir Thriller
457,Chinatown,1974,Film-Noir Mystery Thriller
402,Stand by Me,1986,Adventure Comedy Drama
851,M,1931,Crime Film-Noir Thriller
592,"Manchurian Candidate, The",1962,Film-Noir Thriller
115,Pump Up the Volume,1990,Drama
451,Arsenic and Old Lace,1944,Comedy Mystery Thriller
430,Fried Green Tomatoes,1991,Drama
407,High Noon,1952,Western
248,Somewhere in Time,1980,Drama Romance
506,Being There,1979,Comedy
880,"Paris, Texas",1984,Drama
408,Alien 3,1992,Action Horror Sci-Fi Thriller
563,Body Snatchers,1993,Horror Sci-Fi Thriller
618,Bride of Frankenstein,1935,Horror
758,Candyman,1992,Horror
151,Cape Fear,1962,Film-Noir Thriller
589,Cat People,1982,Horror
840,"Nosferatu (Nosferatu, eine Symphonie des Grauens)",1922,Horror
580,"Crucible, The",1996,Drama
258,Volcano,1997,Drama Thriller
50,Conan the Barbarian,1981,Action Adventure
370,Kull the Conqueror,1997,Action Adventure
877,Wishmaster,1997,Horror
615,I Know What You Did Last Summer,1997,Horror Mystery Thriller
530,Rocket Man,1997,Comedy
698,In the Line of Fire,1993,Action Thriller
91,Executive Decision,1996,Action Thriller
435,"Perfect World, A",1993,Action Drama
646,McHale's Navy,1997,Comedy War
178,Leave It to Beaver,1997,Comedy
762,"Jackal, The",1997,Action Thriller
68,Seven Years in Tibet,1997,Drama War
409,"American President, The",1995,Comedy Drama Romance
582,Casino,1995,Drama
858,Persuasion,1995,Romance
